Title,Company,Location,Remote,SeniorityLevel,EmploymentType,Industries,DatePosted,NumApplicants,JobFunction1,JobFunction2,JobFunction3,Description,Url,JobID,ShortDescription,TechStack,YoE,MinLevelStudies,English,OpenAIModel,OpenAIResponseId,OpenAIRawPayload,MinYoE
Principal Clinical Data Science Lead,ICON plc,"Mexico City, Mexico",REMOTE,,Full-time,Biotechnology Research,2026-06-18T13:42:16.086037,25.0,Education,Training,,"Principal Clinical Data Science Lead - Mexico & Colombia ICON plc is a world-leading healthcare intelligence and clinical research organization. We’re proud to foster an inclusive environment driving innovation and excellence, and we welcome you to join us on our mission to shape the future of clinical development. We have an incredible opportunity for a Principal Clinical Data Science Lead to join ICON’s Full-Service IOD Clinical Data Science team. The Principal Clinical Data Science Lead (CDSL) leads and serves as the primary contact for end-to-end data review activities performed on clinical trials. They are accountable for achieving clinical data science deliverables on-time, with high-quality, and to agreed financial metrics. The Principal CDSL will serve as the primary point of contact for internal and external team members regarding clinical data review activities and lead these data review activities to ensure delivery of data fit for analysis. They will provide input into clinical system development activities and clinical risk management activities. Locations: home-based OR hybrid Mexico Colombia What You Will Be Doing Develops and oversees timeliness of clinical data science activities during the life cycle of studies as it relates to data review and data delivery milestones Participates in Sponsor and/or third-party audits Forecasts budget, hours, and resourcing for clinical data review activities Performs analytic review as defined in the scope of work and functional plans focusing on errors that matter or have a meaningful impact on the safety of the subject or interpretation of the final analysis Accountable for the development of planning documents related to data review, data analytics, and data deliverables Establishes approach and leads resources to achieve operational and strategic plans Travel (approximately 15%) domestic and/or international Your Profile 8+ years of clinical data management experience in a clinical research organization or pharmaceutical company 2+ years of experience working in a clinical research organization (CRO) Experience with all steps within the data science lifecycle and most major data science study tasks, with proficiency in at least one Clinical Data Management system required (e.g., Rave, Inform, Oracle Clinical, OCRDC, UX EDC) Strong project management skills with experience leading multiple projects simultaneously Excellent leadership and communication skills Budget and timeline management experience Data Analytic and Data Validation experience Established Mentor and/or SME experience Bachelor’s degree or local equivalent Equivalent combination of education, training, and relevant experience may be considered in place of the education and experience stated above. All employees must read, write, and speak fluent English and host country language. * Please submit all applications in English * What ICON Can Offer You Our success depends on the quality of our people. That’s why we’ve made it a priority to build a diverse culture that rewards high performance and nurtures talent. In addition to your competitive salary, ICON offers a range of additional benefits. Our benefits are designed to be competitive within each country and are focused on well-being and work life balance opportunities for you and your family. Our Benefits Examples Include Various annual leave entitlements A range of health insurance offerings to suit you and your family’s needs. Competitive retirement planning offerings to maximize savings and plan with confidence for the years ahead. Global Employee Assistance Programme, LifeWorks, offering 24-hour access to a global network of over 80,000 independent specialized professionals who are there to support you and your family’s well-being. Life assurance Flexible country-specific optional benefits, including childcare vouchers, bike purchase schemes, discounted gym memberships, subsidized travel passes, health assessments, among others. Visit our careers site to read more about the benefits ICON offers. At ICON, inclusion & belonging are fundamental to our culture and values. We’re dedicated to providing an inclusive and accessible environment for all candidates. ICON is committed to providing a workplace free of discrimination and harassment. All qualified applicants will receive equal consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status. If, because of a medical condition or disability, you need a reasonable accommodation for any part of the application process, or in order to perform the essential functions of a position, please let us know or submit a request here Interested in the role, but unsure if you meet all of the requirements? We would encourage you to apply regardless – there’s every chance you’re exactly what we’re looking for here at ICON whether it is for this or other roles. Are you a current ICON Employee? Please click here to apply",https://mx.linkedin.com/jobs/view/principal-clinical-data-science-lead-at-icon-plc-4428785282,4428785282,,,,,,,,,
Biology Researcher (Masters/PhDs),Alignerr,"Mexico City, Mexico",REMOTE,,Contract,"Technology, Information and Internet",2026-06-18T13:42:16.086044,25.0,Research,"Analyst,",Information Technology,"Biology Researcher (Masters/PhDs) - AI Training About The Role What if your years of biology expertise could directly shape how AI reasons through the most complex problems in genetics, biotechnology, and bioinformatics? We're looking for Biology Experts — Masters and PhD-level scientists — to help build and train cutting-edge AI models that need to think the way the best researchers do. This is a fully remote, flexible contract role built for scientists who want to apply their deep domain knowledge to one of the most impactful frontiers in technology. No AI background required — just exceptional scientific expertise and a sharp, rigorous mind. Organization: Alignerr Type: Hourly Contract Location: Remote Commitment: 10–40 hours/week What You'll Do Develop, solve, and critically review advanced biology problems with real-world scientific relevance Apply your expertise in genetics, biotechnology, bioinformatics, or related fields to design complex, meaningful problem statements Evaluate AI-generated scientific reasoning for accuracy, depth, and rigor Collaborate asynchronously with AI researchers and domain experts to enhance how AI models approach biological reasoning Ensure scientific clarity, precision, and depth across all deliverables Work independently on task-based assignments — fully on your own schedule Who You Are Master's or PhD in Biology or a closely related field (Genetics, Molecular Biology, Bioinformatics, Biotechnology, etc.) Strong command of at least one subfield — genetics, biotech, or bioinformatics Comfortable working with Python or R in a research or analytical context Exceptionally clear written communicator who can translate complex science into structured, readable outputs Detail-oriented with a systematic, rigorous approach to problem-solving Self-motivated and reliable when working independently without supervision Nice to Have Prior experience with data annotation, data quality evaluation, or AI feedback systems Background in computational biology, systems biology, or scientific writing Experience reviewing or editing scientific content for accuracy and clarity Familiarity with AI tools or language model evaluation as an end user Why Join Us Work on cutting-edge AI projects alongside the world's leading research labs Fully remote and flexible — work when and where it suits you Freelance autonomy with the structure of meaningful, task-based scientific work Make a direct, tangible impact on how AI understands and reasons through biology Contribute to technology that could shape the future of scientific discovery Potential for ongoing work and contract extension as new projects launch",https://mx.linkedin.com/jobs/view/biology-researcher-masters-phds-at-alignerr-4430178204,4430178204,,,,,,,,,
Researcher - Lean 4 & Formal Proof Systems,Alignerr,"Mexico City, Mexico",REMOTE,,Contract,"Technology, Information and Internet",2026-06-18T13:42:16.086047,25.0,Research,"Analyst,",Information Technology,"Researcher – Lean 4 & Formal Proof Systems (AI Training) About The Role What if your deep mathematical training could directly shape the future of AI — and push the boundaries of what machines can reason about and verify? We're looking for mathematicians and formal methods specialists to translate sophisticated human-written proofs into machine-verifiable Lean 4 formalizations. This is frontier work: you'll be operating at the edge of what automated provers can currently handle, helping map the limits of formal verification and contributing to some of the most technically demanding AI research happening today. This is a fully remote, flexible contract role designed for mathematically mature researchers who love rigor, structure, and the intellectual challenge of bridging human reasoning and mechanized proof. Organization: Alignerr Type: Hourly Contract Location: Remote Commitment: 10–40 hours/week What You'll Do Translate informal mathematical proofs into precise, machine-verifiable Lean 4 formalizations — with an emphasis on clarity, structure, and correctness Analyze proofs across domains (algebra, analysis, topology, logic, discrete math) to identify hidden assumptions, gaps, and formalizable sub-structures Construct formalizations that test and expose the limits of existing proof assistants — especially where automation breaks down Develop clean, readable, reproducible proof scripts aligned with best practices and Lean idioms Provide expert guidance on proof decomposition, lemma selection, and structuring strategies for formal models Collaborate with AI researchers to design and refine strategies for improving formal verification pipelines Investigate where automated provers fail and articulate why — whether due to complexity, missing lemmas, library gaps, or fundamental limitations Create Lean proofs that surface deeper patterns or generalizations implicit in the original mathematics Who You Are Hold a Master's degree or higher in Mathematics, Logic, Theoretical Computer Science, or a closely related field Have a strong foundation in rigorous proof writing and mathematical reasoning across at least one of: algebra, analysis, topology, logic, or discrete mathematics Have hands-on experience with Lean (Lean 3 or Lean 4), Coq, Isabelle/HOL, Agda, or a comparable proof assistant — Lean 4 strongly preferred Genuinely enthusiastic about formal verification, proof assistants, and the future of mechanized mathematics Able to take a dense, elegant human argument and express it in a form a machine can verify — with precision and structural care Nice to Have Familiarity with type theory, the Curry-Howard correspondence, and proof automation tools Experience contributing to large-scale formalization projects such as Mathlib Exposure to theorem provers where automated reasoning frequently fails or requires significant manual scaffolding Prior experience with data annotation, evaluation systems, or AI training workflows Strong written communication skills for explaining formalization decisions, edge cases, and reasoning strategies Why Join Us Work at the frontier of formal verification alongside teams building cutting-edge AI systems Fully remote and flexible — structure your work around your schedule, anywhere in the world Freelance autonomy with meaningful, intellectually rigorous task-based work Direct exposure to how advanced AI models are trained and evaluated on mathematical reasoning Potential for ongoing work and contract extension as new projects launch",https://mx.linkedin.com/jobs/view/researcher-lean-4-formal-proof-systems-at-alignerr-4430164390,4430164390,,,,,,,,,
Desarrollador de Software Guidewire,Azkait,"Mexico City, Mexico",REMOTE,,Full-time,"Technology, Information and Internet",2026-06-18T13:42:16.086050,25.0,Engineering,Information Technology,,"AzkaIT es una empresa mexicana que busca y conecta el mejor talento IT con empresas Latinoamericanas y de Estados Unidos. Estamos en la búsqueda de tu talento como Desarrollador de Software Guidewire . Requisitos: Experiencia (+2 años) en desarrollo y configuración de la plataforma Guidewire PolicyCenter. Dominio técnico programando en Gosu y Java. Experiencia con pantallas PCF, reglas de negocio, validaciones y flujo de la póliza. Inglés avanzado (C1) para conversaciones técnicas fluidas. Beneficios: Esquema de contratación 100% nómina SGMM Familiar Seguro de Vida Vales de despensa PTU de ley Aguinaldo de 30 días Vacaciones de ley Certificaciones gratuitas Contrato por tiempo indefinido (periodo de prueba de 3 meses) Lugar y esquema de trabajo: Remoto Horario: Lunes a viernes de 9:00 am a 6:00 pm CST.",https://mx.linkedin.com/jobs/view/desarrollador-de-software-guidewire-at-azkait-4428768198,4428768198,,,,,,,,,
Mathematics Researcher (Masters/PhDs),Alignerr,"Mexico City, Mexico",REMOTE,,Contract,"Technology, Information and Internet",2026-06-18T13:42:16.086052,25.0,Research,"Analyst,",Information Technology,"Mathematics Researcher (Masters/PhDs) - AI Training About The Role What if your deep knowledge of mathematics could directly shape how AI reasons through the world's most complex problems? We're looking for Mathematics Experts — Masters and PhD holders — to help train and evaluate cutting-edge AI models, ensuring they can think rigorously, solve accurately, and reason like the best mathematical minds. This is a fully remote, flexible contract role built for serious mathematicians who want meaningful, intellectually engaging work on their own schedule. Organization: Alignerr Type: Hourly Contract Location: Remote Commitment: 10–40 hours/week What You'll Do Develop, solve, and critically review advanced mathematical problems with real-world relevance Apply your expertise in algebra, calculus, statistics, discrete mathematics, or related areas to design complex, rigorous problem sets Collaborate asynchronously with AI researchers and domain experts to improve AI model reasoning and mathematical accuracy Evaluate the quality, correctness, and clarity of AI-generated mathematical solutions Ensure mathematical rigor, precision, and depth across all deliverables Who You Are Hold a Master's or PhD in Mathematics or a closely related field Have strong, demonstrable expertise in one or more of: algebra, calculus, statistics, or discrete mathematics Comfortable working with Python, MATLAB, or Mathematica for research or technical problem-solving Exceptionally clear communicator — you can explain complex mathematical reasoning in writing with precision and confidence Detail-oriented, self-motivated, and reliable when working independently Nice to Have Prior experience with data annotation, data quality evaluation, or AI assessment workflows Experience designing mathematical curricula, writing research papers, or tutoring at an advanced level Familiarity with AI tools or mathematical reasoning benchmarks Background in applied mathematics, physics, computer science, or engineering Why Join Us Work on cutting-edge AI projects alongside leading research labs and AI teams Fully remote and flexible — work when and where it suits you Freelance autonomy with the structure of meaningful, intellectually stimulating work Make a direct, tangible impact on how AI understands and applies advanced mathematics Potential for ongoing work and contract extension as new projects launch",https://mx.linkedin.com/jobs/view/mathematics-researcher-masters-phds-at-alignerr-4430165339,4430165339,,,,,,,,,
Applied Formal Methods Researcher (Lean 4),Alignerr,"Mexico City, Mexico",REMOTE,,Contract,"Technology, Information and Internet",2026-06-18T13:42:16.086055,25.0,Research,"Analyst,",Information Technology,"About The Role What if your deep mathematical training could directly shape how AI reasons, proves, and understands the most rigorous ideas in human knowledge? We're looking for Applied Formal Methods Researchers to translate advanced mathematical arguments into machine-verifiable Lean 4 proofs — working at the precise boundary of what automated reasoning can and cannot yet do. This is a fully remote, flexible contract role built for mathematicians who love precision, structural elegance, and the challenge of pushing proof assistants to their limits. Organization: Alignerr Type: Hourly Contract Location: Remote Commitment: 10–40 hours/week What You'll Do Translate informal mathematical proofs into clean, structured, machine-verifiable Lean 4 formalizations Analyze proofs across domains — identifying gaps, hidden assumptions, and formalizable sub-structures Construct formalizations that deliberately test the boundaries of existing proof assistants, especially where tools struggle or fail Collaborate with AI researchers to design and refine formal verification strategies and pipelines Develop readable, reproducible proof scripts aligned with mathematical best practices and Lean idioms Provide expert guidance on proof decomposition, lemma selection, and structuring techniques Investigate where automated provers break down and clearly articulate why — complexity, missing lemmas, library gaps, and beyond Formalize classical proofs and compare machine-verifiable structures against standard textbook arguments Who You Are Master's degree or higher in Mathematics, Logic, Theoretical Computer Science, or a closely related field Strong foundation in rigorous proof writing across areas such as algebra, analysis, topology, logic, or discrete mathematics Hands-on experience with Lean (Lean 3 or Lean 4), Coq, Isabelle/HOL, Agda, or a comparable proof assistant — Lean 4 strongly preferred Able to translate dense, informal mathematical arguments into clean, structured formal proofs Genuinely enthusiastic about formal verification, proof assistants, and the future of mechanized mathematics Nice to Have Familiarity with type theory, the Curry-Howard correspondence, and proof automation tools Experience contributing to large-scale formalization projects such as Mathlib Exposure to theorem provers where automated reasoning frequently fails or requires significant manual scaffolding Prior experience with data annotation, data quality evaluation, or AI training workflows Strong communication skills for explaining formalization decisions, edge cases, and proof strategies The Ideal Candidate You're a mathematically mature problem-solver who finds deep satisfaction in taking a dense, elegant human argument and expressing it in a form a machine can verify. You appreciate precision, structural beauty, and the intellectual challenge of resolving gaps that automated tools cannot yet bridge. You're excited to work on problems that sit at the very frontier of what formal mathematics can express and automate. Why Join Us Work directly on cutting-edge AI research projects alongside world-leading research labs Fully remote and flexible — work when and where it suits you, on your own schedule Freelance autonomy with meaningful, intellectually stimulating work Contribute to a field that is actively redefining the boundaries of mathematical knowledge and AI capability Potential for ongoing work and contract extension as new projects launch",https://mx.linkedin.com/jobs/view/applied-formal-methods-researcher-lean-4-at-alignerr-4430164381,4430164381,,,,,,,,,
Software Engineer II (Frontend),"Scribd, Inc.","Mexico City, Mexico",REMOTE,,Full-time,Software Development,2026-06-18T13:42:16.086057,135.0,Engineering,Information Technology,,"Scribd, Inc. is on a mission to advance human understanding. Our four products — Scribd®, Slideshare®, Everand™, and Fable — help billions of people across the globe move beyond access and into insight, application, and expertise. Culture at Scribd, Inc. We support a culture where our employees can be real and be bold; where we debate and commit as we embrace plot twists; and where every employee is empowered to take action as we prioritize the customer. We believe the best work happens when individual flexibility is balanced with meaningful community connection. Scribd Flex empowers employees to choose the workstyle and location that support their best performance, while committing to intentional in-person moments that strengthen collaboration and culture. Occasional in-person attendance is required for all Scribd, Inc. employees, regardless of location. So what are we looking for in new team members? At Scribd, Inc., we hire for “GRIT.” Traditionally defined as the intersection of passion and perseverance toward long-term goals, GRIT reflects the mindset we expect from every employee. For us, it also serves as a practical framework for how we work: setting and achieving Goals, delivering Results within your role, contributing Innovative ideas and solutions, and strengthening the broader Team through collaboration and attitude. This posting reflects an approved, open position within the organization. About Our Team The Signup & Activation team at Scribd is responsible for creating the critical first experiences that convert visitors into engaged users across our brands: Scribd, Everand, and Slideshare. We own the complete user journey from initial discovery through signup, onboarding, and early activation moments. As part of the Growth Engineering organization, our work centers on building high-converting, performant, and delightful web experiences that drive user acquisition and retention. We focus on experimentation-driven development, leveraging A/B testing, personalization, and data-informed design to continuously optimize conversion rates and user engagement. The team values collaboration, pragmatic problem-solving, and a culture of technical excellence. About The Role We are looking for a talented Frontend Software Engineer II to join our Signup & Activation team. In this role, you will help build and optimize the frontend experiences that power our user acquisition and activation funnels. You will partner with product managers, designers, data analysts, and fellow engineers to deliver high-quality solutions that enhance conversion rates, reduce friction, and create engaging first impressions. You'll be supported by senior engineers while owning well-defined projects or features from design through implementation. This role is a strong fit for someone eager to deepen their technical expertise in growth engineering, expand their impact on Scribd's user acquisition strategy, and grow toward increased autonomy in frontend development. Our cross-functional squad involves close collaboration with other engineering teams, designers, and product managers, so accountability and clear communication are paramount. While your primary focus will be on the frontend, you'll work alongside backend engineers to build complete product experiences powered by data and personalization. What We're Looking For A motivated engineer who takes pride in writing clean, maintainable code and is eager to grow their craft A collaborator who enjoys working across disciplines to deliver well-scoped features that balance technical quality with business needs A customer-focused problem-solver who cares about usability and building intuitive, accessible experiences A growth-minded contributor who actively seeks feedback and continuously learns from peers, mentors, and new technologies Someone curious about growth engineering who wants to understand how frontend experiences drive business metrics Required Qualifications 4+ years of professional software development experience building and shipping customer-facing frontend applications Strong proficiency in modern TypeScript & JavaScript, especially React Experience with modern JavaScript frameworks (Next.js preferred) Familiarity with Ruby on Rails and its ecosystem — comfortable contributing in a Rails-backed product environment Solid grasp of modern frontend fundamentals: state management, component architecture, accessibility, testing, and UI quality Experience integrating frontends with APIs (REST, GraphQL a plus) Familiarity with experimentation, A/B testing, and personalization systems Ability to build interactive experiences with attention to detail and UX polish Strong written and verbal communication skills: as a remote company, we rely heavily on documentation and clear communication Experience working in a codebase with shared patterns (monorepos, shared UI libraries, or platform constraints) and collaborating across teams Values craftsmanship and empathy while writing maintainable, thoughtful code AI Fluency: Comfortable using AI tools (Claude Code, Codex, Cursor, etc.) to accelerate development, debug issues, and explore solutions Nice to Have Exposure to Growth Engineering concepts (e.g., signup optimization, conversion funnels, user lifecycle engagement) Exposure to backend technologies like Redis, Kafka, MySQL, or Terraform A thoughtful approach to experimentation that balances rapid iteration with code quality Experience with shared component libraries or design systems Experience with CI/CD pipelines and automated deployment workflows At Scribd, Inc. your base pay is one part of your total compensation package and is determined within a range. Our pay ranges are based on the local cost of labor benchmarks for each specific role, level, and geographic location. San Francisco is our highest geographic market in the United States. In the state of California, the reasonably expected salary range is between $125,000 [minimum salary in our lowest geographic market within California] to $195,000 [maximum salary in our highest geographic market within California]. In the United States, outside of California, the reasonably expected salary range is between $103,000 [minimum salary in our lowest US geographic market outside of California] to $185,500 [maximum salary in our highest US geographic market outside of California]. In Canada, the reasonably expected salary range is between $131,000 CAD[minimum salary in our lowest geographic market] to $173,500 CAD[maximum salary in our highest geographic market]. We carefully consider a wide range of factors when determining compensation, including but not limited to experience; job-related skill sets; relevant education or training; and other business and organizational needs. The salary range listed is for the level at which this job has been scoped. In the event that you are considered for a different level, a higher or lower pay range would apply. This position is also eligible for a competitive equity ownership, and a comprehensive and generous benefits package. Working at Scribd, Inc. Are you currently based in a location where Scribd, Inc. can employ you? Employees must have their primary residence in or near one of the following cities. This includes surrounding metro areas or locations within a typical commuting distance: United States Atlanta | Austin | Boston | Dallas | Denver | Chicago | Houston | Jacksonville | Los Angeles | Miami | New York City | Phoenix | Portland | Sacramento | Salt Lake City | San Diego | San Francisco | Seattle | Washington D.C. Canada Ottawa | Toronto | Vancouver Mexico Mexico City Benefits At Scribd, Inc. Scribd Flex (flexible work model) Comprehensive health, dental, and vision coverage Mental health support and disability coverage Generous paid time off, including vacation, sick time, holidays, winter break, volunteer time, and sabbaticals Paid parental leave and family support benefits Retirement matching and employee equity Learning and development programs and professional growth opportunities Wellness and home office stipends Complimentary access to the Scribd, Inc. suite of products Enterprise access to leading AI tools Get to Know Scribd, Inc. About Scribd, Inc. Life at Scribd, Inc. We want our interview process to be accessible to everyone. You can inform us of any reasonable adjustments we can make to better accommodate your needs by emailing accommodations@scribd.com about the need for adjustments at any point in the interview process. If you apply for a job with Scribd or otherwise engage with us in connection with employment (including as an employee, contractor, or other personnel), the personal information we process in that context is subject to our Employee and Applicant Privacy Policy, which is available here . Scribd, Inc. is committed to equal employment opportunity regardless of race, color, religion, national origin, gender, sexual orientation, age, marital status, veteran status, disability status, or any other characteristic protected by law. We encourage people of all backgrounds to apply, and believe that a diversity of perspectives and experiences create a foundation for the best ideas. Come join us in building something meaningful.",https://mx.linkedin.com/jobs/view/software-engineer-ii-frontend-at-scribd-inc-4419023005,4419023005,,,,,,,,,
Business Architect (Temporary Contract),Applaudo,"Mexico City, Mexico",REMOTE,Mid-Senior level,Full-time,IT Services and IT Consulting,2026-06-18T13:42:16.086061,25.0,Information Technology,,,"Job Description About You You are a Business Architect with a strong technical background who enjoys solving complex engineering challenges and improving existing systems. You thrive in fast-paced environments where troubleshooting, architecture reviews, and technical leadership are essential to project success. You are comfortable working directly with development teams, identifying root causes, removing technical blockers, and establishing engineering best practices that improve software quality, maintainability, and scalability. You bring a hands-on mindset and enjoy mentoring engineers, strengthening delivery processes, and helping teams accelerate execution through practical and sustainable solutions. Note: This position is offered under a contractor model for a period of 2 months. You Bring to Applaudo the Following Competencies: Bachelor’s Degree in Computer Science, Software Engineering, Computer Engineering, or a related field is desired, or equivalent professional experience. 4+ years of experience working as a Business Architect, Software Architect, Technical Architect, Technical Lead, or similar roles. Strong experience with Java, Spring Boot, and Microservices architecture. Experience troubleshooting and resolving complex Production and UAT issues. Strong knowledge of Azure services, including AKS, App Service, Application Gateway, and Storage Accounts. Experience with Docker and containerized applications. Ability to perform code reviews, identify technical debt, and recommend architectural improvements. Experience mentoring development teams and promoting engineering best practices. Strong analytical, troubleshooting, and problem-solving skills. Advanced English proficiency (B2+/C1). You Will Be Accountable for the Following Responsibilities: Support the team in analyzing and resolving UAT defects. Identify root causes and drive sustainable solutions. Review the current architecture and implementation to improve maintainability, scalability, and quality. Provide technical guidance and coaching to the development team. Establish and reinforce best practices for coding, testing, deployments, and troubleshooting. Help accelerate delivery by removing technical blockers and improving team effectiveness. Collaborate with technical stakeholders to strengthen engineering quality and delivery outcomes. Promote sustainable engineering practices that improve long-term maintainability. Qualifications 4+ years of experience in Architecture, Technical Leadership, or Backend Engineering roles. Strong experience with Java, Spring Boot, and Microservices. Experience troubleshooting Production and UAT environments. Strong Azure experience (AKS, App Service, Application Gateway, Storage Accounts). Experience with Docker and technical mentoring. Advanced English proficiency. Additional Information About Us We Are Engineered Different. At Applaudo, talented people design, build, and scale meaningful, AI-powered solutions that create real business impact. As an AI-native organization, we collaborate across design, development, cloud, data, and artificial intelligence to turn ideas into scalable products that transform how companies operate, make decisions, and grow. We are building a high-performance culture grounded in five values: Empowering Excellence, Collaborative Teamwork, Unsolicited Respect, Consistent Transparency, and Efficient Communication . These define how we work, how we support one another, and how we hold ourselves accountable. Applaudo is a place for people who want to learn fast, take ownership, and work alongside strong teams they are proud to belong to. Joining us means being part of an organization that is evolving intentionally, investing in modern ways of working, and leading AI-native transformation at scale.",https://mx.linkedin.com/jobs/view/business-architect-temporary-contract-at-applaudo-4429981895,4429981895,,,,,,,,,
FBS - Sr Product Analyst,Capgemini,"Mexico City, Mexico",REMOTE,,Full-time,IT Services and IT Consulting,2026-06-18T13:42:16.086063,25.0,Other,,,"Our Client is one of the United States' largest insurers, providing a wide range of insurance and financial services products with gross written premiums well over US$25 Billion (P&C). They proudly serve more than 10 million U.S. households with more than 19 million individual policies across all 50 states through the efforts of over 48,000 exclusive and independent agents and nearly 18,500 employees. Finally, our Client is part of one the largest Insurance Groups in the world. About The Role We are looking for a Senior Product Analyst to support the growth and profitability of the Direct business unit, spanning Personal Lines, Bristol West, Farmers Workplace Solutions, and Specialty products. This role focuses on analyzing data, identifying market opportunities, and delivering insights that help attract and retain the right customers while improving overall business performance. What You'll Do Analyze and interpret data to support revenue growth and profitability. Query and extract data from multiple databases using statistical and analytical techniques. Identify market segments based on conversion, performance, and customer metrics. Develop insights and recommend strategies to improve business results and market position. Prepare reports, exhibits, and presentations for stakeholders and regulatory needs. Support rate proposals, marketing plans, and pricing strategies. Monitor and evaluate performance across states, initiatives, and customer segments. Conduct research on customers, competitors, and market trends. Collaborate with cross-functional teams to support product and system initiatives. Define data requirements for system implementations and enhancements Requirements 3+ years of experience in a similar role (or 1+ year as Product Analyst II). Experience with data analysis, statistical methods, and market evaluation. Bachelor's degree Advanced data querying and analytical capabilities. Strong critical thinking and problem-solving skills. Ability to communicate insights clearly through presentations and reports. Knowledge of customer segmentation, performance metrics, and pricing strategies. Familiarity with auto or US insurance market is a plus. SQL / Snowflake, Power BI / Excel (4-6 years) Benefits Competitive compensation and benefits package: Competitive salary and performance-based bonuses Comprehensive benefits package Career development and training opportunities Flexible work arrangements (remote and/or office-based) Dynamic and inclusive work culture within a globally renowned group Private Health Insurance Pension Plan Paid Time Off Training & Development Note: Benefits differ based on employee level.",https://mx.linkedin.com/jobs/view/fbs-sr-product-analyst-at-capgemini-4418781692,4418781692,,,,,,,,,
Analista Gobierno y Calidad de Datos,Ingeniosi,"Polanco, Mexico City, Mexico",HYBRID,Associate,Full-time,Banking,2026-06-18T13:43:21.627555,25.0,Information Technology,,,"Buscamos un(a) Analista Gobierno y Calidad de Datos con experiencia en banca y una fuerte orientación al análisis de información, documentación de requerimientos y coordinación de iniciativas entre equipos de Negocio y Tecnología. La posición participa activamente en la implementación de desarrollos tecnológicos, asegurando el cumplimiento de estándares, controles y procesos regulatorios. Responsabilidades: Participar en iniciativas transversales entre las áreas de Negocio y Tecnología para asegurar la correcta ejecución e implementación de soluciones tecnológicas. Levantar, analizar y documentar requerimientos de negocio, garantizando la calidad y trazabilidad de la información. Dar seguimiento a proyectos, monitoreando avances, riesgos y cumplimiento de entregables durante todo el ciclo de vida. Elaborar y mantener documentación para comités y procesos administrativos, asegurando el cumplimiento de políticas y lineamientos internos. Colaborar en la coordinación y planeación de actividades relacionadas con proyectos e iniciativas estratégicas. Promover una cultura centrada en el cliente, fortaleciendo las relaciones y aprovechando las capacidades y sistemas del banco. Ejecutar las actividades diarias bajo los lineamientos de gestión de riesgos, cumplimiento regulatorio y controles operativos establecidos. Contribuir al cumplimiento de los marcos de gestión de riesgo operacional, prevención de lavado de dinero y conducta empresarial. Requisitos Indispensables: 2 años de experiencia en el sector bancario. Inglés intermedio (B1-70%). Experiencia en análisis y documentación de requerimientos de negocio. Manejo de SQL. Conocimiento de DAMA (Data Management). Capacidad para trabajar con equipos multidisciplinarios y dar seguimiento a proyectos. Habilidades de comunicación y organización. Conocimientos Deseables: Python. Power BI.",https://mx.linkedin.com/jobs/view/analista-gobierno-y-calidad-de-datos-at-ingeniosi-4428750972,4428750972,,,,,,,,,
