Title,Company,Location,Remote,SeniorityLevel,EmploymentType,Industries,DatePosted,NumApplicants,JobFunction1,JobFunction2,JobFunction3,Description,Url,JobID,ShortDescription,TechStack,YoE,MinLevelStudies,English,OpenAIModel,OpenAIResponseId,OpenAIRawPayload,MinYoE
AI Engineer - Remote Work,BairesDev,Mexico City Metropolitan Area,REMOTE,Mid-Senior level,Full-time,IT Services and IT Consulting,2026-04-14T12:50:34.074007,25,Information Technology,,,"At BairesDev®, we've been leading the way in technology projects for over 15 years. We deliver cutting-edge solutions to giants like Google and the most innovative startups in Silicon Valley. Our diverse 4,000+ team, composed of the world's Top 1% of tech talent, works remotely on roles that drive significant impact worldwide. When you apply for this position, you're taking the first step in a process that goes beyond the ordinary. We aim to align your passions and skills with our vacancies, setting you on a path to exceptional career development and success. AI Engineer at BairesDev As an AI Engineer, you'll contribute to developing and implementing artificial intelligence solutions that solve business challenges. You'll work with machine learning models, collaborate with data teams, and help deploy AI systems while continuously improving their performance and reliability. What You'll Do: - Develop and implement machine learning models and AI solutions. - Collaborate with teams to integrate AI capabilities into applications. - Process and prepare data for model training and evaluation. - Optimize model performance and conduct testing. - Participate in deploying AI solutions to production environments. - Document technical approaches and maintain AI systems. What we are looking for: - 3+ years of experience in AI/ML engineering or related roles. - Knowledge of machine learning frameworks and libraries. - Proficiency in Python or other programming languages for AI development. - Experience with data processing and model training pipelines. - Understanding of AI/ML concepts and algorithms. - Advanced level of English. How we do make your work (and your life) easier: - 100% remote work (from anywhere). - Excellent compensation in USD or your local currency if preferred - Hardware and software setup for you to work from home. - Flexible hours: create your own schedule. - Paid parental leaves, vacations, and national holidays. - Innovative and multicultural work environment: collaborate and learn from the global Top 1% of talent. - Supportive environment with mentorship, promotions, skill development, and diverse growth opportunities. Apply now and become part of a global team where your unique talents can truly thrive!",https://mx.linkedin.com/jobs/view/ai-engineer-remote-work-at-bairesdev-4399663347,4399663347,,,,,,,,,
Data Science Expert - AI Content Specialist,Alignerr,"Mexico City, Mexico",REMOTE,,Contract,"Technology, Information and Internet",2026-04-14T12:50:34.074013,25,Engineering,Information Technology,,"Data Science Expert – AI Content Specialist About The Role What if your deep expertise in machine learning and statistics could directly shape how the world's most advanced AI systems think and reason? We're looking for Data Science Experts to stress-test, audit, and train frontier AI models — exposing gaps in their reasoning and building the gold-standard solutions that make them smarter. This is a fully remote, flexible contract role designed for experienced data scientists, researchers, and quantitative specialists who want to do meaningful, intellectually engaging work on their own terms. Organization: Alignerr Type: Hourly Contract Location: Remote Commitment: 10–40 hours/week What You'll Do Design Advanced Challenges — Create complex, domain-spanning data science problems covering areas like hyperparameter optimization, Bayesian inference, cross-validation strategies, and dimensionality reduction to probe the limits of AI reasoning Author Ground-Truth Solutions — Develop rigorous, step-by-step technical solutions including Python/R scripts, SQL queries, and mathematical derivations that serve as definitive reference answers Audit AI-Generated Code — Critically evaluate AI outputs involving libraries like Scikit-Learn, PyTorch, and TensorFlow, assessing for correctness, efficiency, and best practices Identify and Fix Reasoning Failures — Spot logical flaws in AI reasoning — such as data leakage, overfitting, or improper handling of imbalanced datasets — and provide structured feedback that improves model behavior Work Independently — Take ownership of your tasks asynchronously, delivering high-quality work on a schedule that suits you Who You Are Hold or are pursuing a Master's or PhD in Data Science, Statistics, Computer Science, or a related quantitative field Strong foundational knowledge across core data science areas: supervised/unsupervised learning, deep learning, statistical inference, big data technologies (Spark, Hadoop), or NLP Able to communicate complex algorithmic and statistical concepts clearly and precisely in writing Meticulous attention to detail — you catch errors in code syntax, mathematical notation, and statistical conclusions No prior AI or annotation experience required Nice to Have Experience with data annotation, data quality assurance, or model evaluation workflows Familiarity with production-level data science practices such as MLOps or CI/CD for machine learning models Background in academic research or technical writing Why Join Us Work directly with industry-leading AI models and cutting-edge research teams Fully remote and asynchronous — work when and where you're most productive Freelance autonomy with the structure of meaningful, intellectually stimulating work High-impact contribution: your expertise shapes how AI reasons about data science for users worldwide Potential for ongoing work and contract extension as new projects launch",https://mx.linkedin.com/jobs/view/data-science-expert-ai-content-specialist-at-alignerr-4401582716,4401582716,,,,,,,,,
"Associate Researcher/ Researcher- Staff Consultant, Mexico",The International Council on Clean Transportation,"Mexico City, Mexico",REMOTE,,Contract,Think Tanks,2026-04-14T12:50:34.074016,25,Consulting,"Information Technology,",Sales,"The ICCT is an award-winning, independent, global, non-profit research organization that supports the effective design and implementation of policies to address the impacts of the global transportation sector on climate change and public health. Our organization achieves this by providing high-quality and timely data-driven research to public officials at all levels of government - city, state, national, regional, and international - as well as to civil society and the media. The ICCT offers a mission-driven and culturally diverse workplace where intelligence, flexibility, transparency, and good humor are highly valued. Join our growing team of talented researchers and operations staff with offices in Washington D.C., San Francisco, CA, Berlin, Germany, Beijing, China, New Delhi, India, and São Paulo, Brazil. The ICCT seeks a highly committed and self-motivated Associate Researcher or Researcher to serve as a full-time consultant to support transport decarbonization policies for light-duty vehicles in Mexico. The position will also engage in other projects throughout Latin America as needed. Representative work can be seen at the ICCT’s light-duty vehicle and Mexico program pages at  https://theicct.org/sector/light-vehicles/ and Mexico . This opportunity is based in Mexico City. To be successful in our environment, you must be intellectually curious, self-directed, and able to work with people from across the globe. The position is best suited to someone with inventiveness, creativity, resourcefulness, and strong time management skills that is comfortable in a fast-paced environment and learns fast. The ideal candidate will hold a graduate degree with previous research experience in environment, transportation or energy topics, excellent writing skills, strong modeling and/or analytical skills, some international education, travel or work experience, and demonstrated passion for solving our most pressing global health and environmental challenges. You Will: Perform high-quality research to support the development and implementation of regulations designed to limit the environmental impacts of light-duty vehicles, including electrification strategies for fleets Collect data, and perform quantitative analyses of datasets using Excel, Python, R, or similar tools on the performance of conventional and zero-emissions vehicles and their market evolution in Mexico and Latin America. Develop and maintain deep expertise in a specific technology, modeling, or policy area and serve as a resource to ICCT staff. Author or co-author ICCT publications such as blogs, briefing papers, memos, working papers, white papers, and internal memos. Review and summarize technical and scientific literature and review the work of colleagues and outside consultants. Prepare presentations and present findings in public forums, such as workshops and conferences, as well as in private forums, such as regulatory working groups and policymaker briefings. Help to organize outreach activities, such as briefings, meetings, and workshops. Engage with external stakeholders, including government officials, policymakers, NGOs, academic experts, or industry partners. You Have: M.S., or Ph.D., in engineering, environmental sciences, or related disciplines field and at least 2-4 years of work or research experience. Strong technical understanding of air quality, climate change, and transportation emissions, including vehicle and fuel regulations, market-based initiatives, and fiscal instruments in Mexico. Excellent quantitative, analytical, research, and organizational skills, along with strong written and verbal communication skills and strong emotional intelligence. Strong proficiency with data manipulation and analysis; modeling and computer programming experience and skill desired. Ability to work independently with limited supervision; highly organized, self-directed, and strategic in problem-solving. Spanish fluency and English proficiency are required, both written and spoken. Experience working with fleets in Mexico or Latin America is desired. Benefits: This position is based in Mexico City and will collaborate closely with the other Mexico-based consultant and the rest of the Mexico and Latin America team, primarily located in San Francisco, Colombia, Brazil, and Washington, D.C. There is currently no ICCT office in Mexico City. ICCT will provide a laptop but we expect the consultant to be equipped with all the resources needed to carry out the work from their home, including reliable internet access. Application: Please submit a cover letter, resume, two relevant writing samples, salary requirement, and contact information for three professional references. The position is open immediately and will remain open until filled. Preference will be given to candidates whose cover letters directly address the position being offered. Applications without the supplemental materials will receive less consideration. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender, gender identity or expression, or veteran status. We are proud to be an equal opportunity workplace.",https://mx.linkedin.com/jobs/view/associate-researcher-researcher-staff-consultant-mexico-at-the-international-council-on-clean-transportation-4401388649,4401388649,,,,,,,,,
Researcher - Lean 4 & Formal Proof Systems,Alignerr,"Mexico City, Mexico",REMOTE,,Contract,"Technology, Information and Internet",2026-04-14T12:50:34.074019,25,Research,"Analyst,",Information Technology,"Researcher – Lean 4 & Formal Proof Systems (AI Training) About The Role What if your deep mathematical training could directly shape the future of AI — and push the boundaries of what machines can reason about and verify? We're looking for mathematicians and formal methods specialists to translate sophisticated human-written proofs into machine-verifiable Lean 4 formalizations. This is frontier work: you'll be operating at the edge of what automated provers can currently handle, helping map the limits of formal verification and contributing to some of the most technically demanding AI research happening today. This is a fully remote, flexible contract role designed for mathematically mature researchers who love rigor, structure, and the intellectual challenge of bridging human reasoning and mechanized proof. Organization: Alignerr Type: Hourly Contract Location: Remote Commitment: 10–40 hours/week What You'll Do Translate informal mathematical proofs into precise, machine-verifiable Lean 4 formalizations — with an emphasis on clarity, structure, and correctness Analyze proofs across domains (algebra, analysis, topology, logic, discrete math) to identify hidden assumptions, gaps, and formalizable sub-structures Construct formalizations that test and expose the limits of existing proof assistants — especially where automation breaks down Develop clean, readable, reproducible proof scripts aligned with best practices and Lean idioms Provide expert guidance on proof decomposition, lemma selection, and structuring strategies for formal models Collaborate with AI researchers to design and refine strategies for improving formal verification pipelines Investigate where automated provers fail and articulate why — whether due to complexity, missing lemmas, library gaps, or fundamental limitations Create Lean proofs that surface deeper patterns or generalizations implicit in the original mathematics Who You Are Hold a Master's degree or higher in Mathematics, Logic, Theoretical Computer Science, or a closely related field Have a strong foundation in rigorous proof writing and mathematical reasoning across at least one of: algebra, analysis, topology, logic, or discrete mathematics Have hands-on experience with Lean (Lean 3 or Lean 4), Coq, Isabelle/HOL, Agda, or a comparable proof assistant — Lean 4 strongly preferred Genuinely enthusiastic about formal verification, proof assistants, and the future of mechanized mathematics Able to take a dense, elegant human argument and express it in a form a machine can verify — with precision and structural care Nice to Have Familiarity with type theory, the Curry-Howard correspondence, and proof automation tools Experience contributing to large-scale formalization projects such as Mathlib Exposure to theorem provers where automated reasoning frequently fails or requires significant manual scaffolding Prior experience with data annotation, evaluation systems, or AI training workflows Strong written communication skills for explaining formalization decisions, edge cases, and reasoning strategies Why Join Us Work at the frontier of formal verification alongside teams building cutting-edge AI systems Fully remote and flexible — structure your work around your schedule, anywhere in the world Freelance autonomy with meaningful, intellectually rigorous task-based work Direct exposure to how advanced AI models are trained and evaluated on mathematical reasoning Potential for ongoing work and contract extension as new projects launch",https://mx.linkedin.com/jobs/view/researcher-lean-4-formal-proof-systems-at-alignerr-4401592491,4401592491,,,,,,,,,
Shopify Engineer - Remote Work,BairesDev,Mexico City Metropolitan Area,REMOTE,Mid-Senior level,Full-time,IT Services and IT Consulting,2026-04-14T12:50:34.074021,25,Information Technology,,,"At BairesDev®, we've been leading the way in technology projects for over 15 years. We deliver cutting-edge solutions to giants like Google and the most innovative startups in Silicon Valley. Our diverse 4,000+ team, composed of the world's Top 1% of tech talent, works remotely on roles that drive significant impact worldwide. When you apply for this position, you're taking the first step in a process that goes beyond the ordinary. We aim to align your passions and skills with our vacancies, setting you on a path to exceptional career development and success. Shopify Engineer at BairesDev We are looking for a Shopify Engineer to join our Development team and help the client take its eCommerce platform to the next level. The Shopify Engineer will be responsible for designing, developing, and maintaining the client's Shopify website and integrations with other systems. This is an excellent opportunity for those professionals looking to develop in one of the fastest-growing companies in the industry! What You Will Do: - Collaborate with the eCommerce team to understand business requirements and translate them into technical solutions. - Design and implement custom Shopify themes and templates. - Build and maintain custom Shopify apps and plugins. - Integrate Shopify with other systems such as CRM, ERP, and payment gateways. - Ensure website performance and security are optimized. - Troubleshoot and resolve website issues. Here’s what we are looking for: - 3+ years of experience with Shopify Liquid. - 2+ years of experience with a JS Framework (React, NextJS, VueJS, etc). - Proven track record in Shopify App development. - Shopify headless architecture experience (stores/apps) is desirable, but not mandatory. - Upper English level. How we do make your work (and your life) easier: - 100% remote work (from anywhere). - Excellent compensation in USD or your local currency if preferred - Hardware and software setup for you to work from home. - Flexible hours: create your own schedule. - Paid parental leaves, vacations, and national holidays. - Innovative and multicultural work environment: collaborate and learn from the global Top 1% of talent. - Supportive environment with mentorship, promotions, skill development, and diverse growth opportunities. Apply now and become part of a global team where your unique talents can truly thrive!",https://mx.linkedin.com/jobs/view/shopify-engineer-remote-work-at-bairesdev-4400005645,4400005645,,,,,,,,,
O9 Engineer,UST,"Mexico City, Mexico",REMOTE,,Full-time,IT Services and IT Consulting,2026-04-14T12:50:34.074024,25,Engineering,Information Technology,,"Role Description O9 Engineer Lead II - Software Engineering Who We Are Born digital, UST transforms lives through the power of technology. We walk alongside our clients and partners, embedding innovation and agility into everything they do. We help them create transformative experiences and human-centered solutions for a better world. UST is a mission-driven group of 29,000+ practical problem solvers and creative thinkers in more than 30 countries. Our entrepreneurial teams are empowered to innovate, act nimbly, and create a lasting and sustainable impact for our clients, their customers, and the communities in which we live. With us, you’ll create a boundless impact that transforms your career—and the lives of people across the world. Visit us at UST.com. You Are UST is searching for an O9 Engineer with familiarity and hands-on experience in O9 platform or IBP platforms. The Opportunity Handles a variety of technical procedures, new and established. Performs initial diagnosis, triage, and where possible fixes issues themselves. Works with product owners to confirm product runbooks, monitoring/KPI dashboards, SLAs, and customer notifications procedures are correct. Handles advanced troubleshooting, typically via escalation from SEs/ SREs. Resolves the root causes of problems, where possible. Expands existing product functionality and related automation/ tooling/dashboards. Solutions are logical and maintainable. Improves logging and monitoring for quick and accurate error detection. Takes the time to understand how customers interact with systems to accurately reflect their experience in monitoring. Provides code reviews for SE peers. Shares best practices and knowledge of SE tools and troubleshooting techniques. Participates in a team on call rotation. This position description identifies the responsibilities and tasks typically associated with the performance of the position. Other relevant essential functions may be required. What You Need 8+ Years of experience as Operations Engineer working for Supply Chain/IBP areas. Ability to troubleshoot issues and drive resolutions. Can analyze a problem statement using relevant data. Able to research techniques or solutions and propose a viable approach. Working experience with ITSM tools like Service Now or Zendesk. Expertise in one or more software languages and design patterns. Understands how to refactor code to make it more modular, scalable, easier to support. Knows how to break features down into components to be developed in parallel by other engineers. Has ways to get more efficiency out of compute resources (without adversely impacting customers). Able to constructively coach engineers -- via code reviews, design reviews, etc. Able to craft technical interview questions and independently evaluate candidate skills. Technical Knowledge and Skills: Strong ServiceNow, O9, Supply chain concepts, FMCG background is preferred. Benefits Employees receive mandatory and non-mandatory benefits such as fourteen (14) days of vacation beginning on the date of hire, vacation premium, ten (10) paid holidays, a Christmas Bonus of thirty (30) days’ pay, Monthly Food Vouchers, Saving Fund, and health insurance. Certain employees may be eligible for additional Company benefits beginning on the date of hire, including dental, disability and life insurance plans; four (4) days of personal time off per year, up to three (3) days of paid medical leave per year, and up to three (3) days of paid bereavement leave per year. What We Believe We proudly embrace the values that have shaped UST since day one. We build our culture of Humility, Humanity, and Integrity. These values inspire us to nurture a people-first, human centric culture that fosters diversity, prioritizes sustainable solutions, and keeps our people and clients at the forefront of all decisions. Humility We will listen, learn, be empathetic and help selflessly in our interactions with everyone. Humanity Through business, we will better the lives of those less fortunate than ourselves. Integrity We honor our commitments and act with responsibility in all our relationships. An Equal Opportunity Workplace, Free of Discrimination and Harassment At UST, we strive to provide a work environment free of discrimination and harassment. We are an equal opportunity employer and employment decisions are based on merit and business needs. Our Human Rights Policy further illustrates our stand on this. We are committed to following fair employment practices that provide equal opportunities to all employees. We do not discriminate or allow harassment on the basis of race, color, religion, disability, gender, national origin, sexual orientation, gender identity, gender expression, age, genetic information, military status, or any other legally protected status. At UST, we value diversity and believe that a diverse workplace builds a competitive advantage. Un lugar de trabajo con igualdad de oportunidades y libre de discriminación y acoso En UST, nos esforzamos por proporcionar un ambiente de trabajo libre de discriminación y acoso. Somos un empleador que ofrece igualdad de oportunidades y basa las decisiones de empleo en los méritos y las necesidades del negocio. Estamos comprometidos a seguir prácticas de empleo justas que brinden igualdad de oportunidades a todos los empleados. No discriminamos ni permitimos el acoso por motivos de raza, color, religión, discapacidad, género, origen nacional, orientación sexual, identidad de género, expresión de género, edad, información genética, estado militar o cualquier otro estado legalmente protegido. En UST, valoramos la diversidad y creemos que un lugar de trabajo diverso construye una ventaja competitiva. UST reserves the right to periodically redefine your roles and responsibilities based on the requirements of the organization and/or your performance. #UST Skills servicenow,o9,code review,fmcg,supply chain,zendesk,",https://mx.linkedin.com/jobs/view/o9-engineer-at-ust-4399589819,4399589819,,,,,,,,,
Applied Formal Methods Researcher (Lean 4),Alignerr,"Mexico City, Mexico",REMOTE,,Contract,"Technology, Information and Internet",2026-04-14T12:50:34.074027,25,Research,"Analyst,",Information Technology,"About The Role What if your deep mathematical training could directly shape how AI reasons, proves, and understands the most rigorous ideas in human knowledge? We're looking for Applied Formal Methods Researchers to translate advanced mathematical arguments into machine-verifiable Lean 4 proofs — working at the precise boundary of what automated reasoning can and cannot yet do. This is a fully remote, flexible contract role built for mathematicians who love precision, structural elegance, and the challenge of pushing proof assistants to their limits. Organization: Alignerr Type: Hourly Contract Location: Remote Commitment: 10–40 hours/week What You'll Do Translate informal mathematical proofs into clean, structured, machine-verifiable Lean 4 formalizations Analyze proofs across domains — identifying gaps, hidden assumptions, and formalizable sub-structures Construct formalizations that deliberately test the boundaries of existing proof assistants, especially where tools struggle or fail Collaborate with AI researchers to design and refine formal verification strategies and pipelines Develop readable, reproducible proof scripts aligned with mathematical best practices and Lean idioms Provide expert guidance on proof decomposition, lemma selection, and structuring techniques Investigate where automated provers break down and clearly articulate why — complexity, missing lemmas, library gaps, and beyond Formalize classical proofs and compare machine-verifiable structures against standard textbook arguments Who You Are Master's degree or higher in Mathematics, Logic, Theoretical Computer Science, or a closely related field Strong foundation in rigorous proof writing across areas such as algebra, analysis, topology, logic, or discrete mathematics Hands-on experience with Lean (Lean 3 or Lean 4), Coq, Isabelle/HOL, Agda, or a comparable proof assistant — Lean 4 strongly preferred Able to translate dense, informal mathematical arguments into clean, structured formal proofs Genuinely enthusiastic about formal verification, proof assistants, and the future of mechanized mathematics Nice to Have Familiarity with type theory, the Curry-Howard correspondence, and proof automation tools Experience contributing to large-scale formalization projects such as Mathlib Exposure to theorem provers where automated reasoning frequently fails or requires significant manual scaffolding Prior experience with data annotation, data quality evaluation, or AI training workflows Strong communication skills for explaining formalization decisions, edge cases, and proof strategies The Ideal Candidate You're a mathematically mature problem-solver who finds deep satisfaction in taking a dense, elegant human argument and expressing it in a form a machine can verify. You appreciate precision, structural beauty, and the intellectual challenge of resolving gaps that automated tools cannot yet bridge. You're excited to work on problems that sit at the very frontier of what formal mathematics can express and automate. Why Join Us Work directly on cutting-edge AI research projects alongside world-leading research labs Fully remote and flexible — work when and where it suits you, on your own schedule Freelance autonomy with meaningful, intellectually stimulating work Contribute to a field that is actively redefining the boundaries of mathematical knowledge and AI capability Potential for ongoing work and contract extension as new projects launch",https://mx.linkedin.com/jobs/view/applied-formal-methods-researcher-lean-4-at-alignerr-4401701012,4401701012,,,,,,,,,
Desarrollador de Aplicaciones iOS - Trabajo Remoto,BairesDev,Mexico City Metropolitan Area,REMOTE,Mid-Senior level,Full-time,IT Services and IT Consulting,2026-04-13T12:50:34.074030,25,Information Technology,,,"En BairesDev® llevamos 15 años liderando proyectos de tecnología para clientes como Google, Rolls-Royce y las startups más innovadoras de Silicon Valley. Actualmente, contamos con un equipo de 4000 profesionales conformado por el top 1% de la industria trabajando de forma remota desde más de 50 países. Al postularte a esta vacante, estarás dando el primer paso en un proceso que va más allá de lo convencional: Buscaremos conocer en profundidad tus habilidades, intereses y expectativas con el objetivo de realizar una búsqueda personalizada y encontrar el rol ideal para ti en BairesDev. Desarrollador de Aplicaciones iOS en BairesDev Como Desarrollador de Aplicaciones iOS en BairesDev, diseñarás y construirás aplicaciones avanzadas para la plataforma iOS. Utilizarás tu experiencia para desarrollar soluciones móviles robustas, optimizar el rendimiento de las aplicaciones y colaborar con equipos multifuncionales para crear experiencias de usuario intuitivas y atractivas que cumplan con los requisitos del cliente y los objetivos del negocio. Qué harás: - Diseñar y construir aplicaciones avanzadas para la plataforma iOS usando Swift u Objective-C. - Colaborar con equipos multifuncionales para definir, diseñar y entregar nuevas características. - Asegurar el rendimiento, calidad y capacidad de respuesta de las aplicaciones. - Identificar y corregir cuellos de botella y errores para mejorar el rendimiento de las aplicaciones móviles. - Ayudar a mantener la calidad del código, organización y automatización. - Mantenerte actualizado con los últimos frameworks, prácticas y patrones de iOS. Qué buscamos: - 3+ años de experiencia con desarrollo iOS. - Competencia en lenguajes de programación Swift y/u Objective-C. - Experiencia con frameworks de iOS. - Conocimiento de principios de diseño de UI para iOS. - Familiaridad con APIs RESTful e integración de aplicaciones móviles. - Experiencia con sistemas de control de versiones, preferiblemente Git. - Nivel avanzado de inglés. Qué ofrecemos para que tu trabajo (y tu vida) sea más fácil: - Trabajo 100% remoto: trabaja desde tu casa o donde quieras. - Compensación en USD o en tu moneda local, como prefieras, muy por encima de la media del mercado. - Hardware y software. - Horarios flexibles - Licencias por mater/paternidad, vacaciones y días festivos nacionales pagos. - Ambiente laboral multicultural e innovador, perfecto para hacer amigos, colaborar y aprender de las personas más talentosas del mundo. - Oportunidades de crecimiento y desarrollo profesional a través de mentorías y entrenamientos. ¡Únete a nuestro equipo global!",https://mx.linkedin.com/jobs/view/desarrollador-de-aplicaciones-ios-trabajo-remoto-at-bairesdev-4399190776,4399190776,,,,,,,,,
NetSuite ERP Developer - Remote Work,BairesDev,Mexico City Metropolitan Area,REMOTE,Mid-Senior level,Full-time,IT Services and IT Consulting,2026-04-14T12:50:34.074044,25,Information Technology,,,"At BairesDev®, we've been leading the way in technology projects for over 15 years. We deliver cutting-edge solutions to giants like Google and the most innovative startups in Silicon Valley. Our diverse 4,000+ team, composed of the world's Top 1% of tech talent, works remotely on roles that drive significant impact worldwide. When you apply for this position, you're taking the first step in a process that goes beyond the ordinary. We aim to align your passions and skills with our vacancies, setting you on a path to exceptional career development and success. NetSuite ERP Developer at BairesDev We are looking for NetSuite ERP Developers with proven experience to develop and use implementation methodologies, to support the full life cycle of an ERP implementation, to join our Team and help spearhead our growth. What You Will Do: - Support the NetSuite solution based on business requirements and NetSuite best practices. - Development of business process improvements and documentation. - Develop prototypes for solution for client review and solution confirmation. - Perform business process reviews and process mapping. - Support and services surrounding data migration. Here’s what we are looking for: - 5+ years of experience with all aspects of NetSuite ERP. - Experience with NetSuite configuration, data migration, user acceptance testing, functional integrations definitions and documentation, and go-live support. - Demonstrated history working with full-scope accounting implementations. - Focus on Netsuite Financials. (Desirable) - Experience as a senior staff accountant or controller. (Desirable) - Experience consolidating subsidiaries and US and International based organizations. - Advanced English level. How we do make your work (and your life) easier: - 100% remote work (from anywhere). - Excellent compensation in USD or your local currency if preferred - Hardware and software setup for you to work from home. - Flexible hours: create your own schedule. - Paid parental leaves, vacations, and national holidays. - Innovative and multicultural work environment: collaborate and learn from the global Top 1% of talent. - Supportive environment with mentorship, promotions, skill development, and diverse growth opportunities. Apply now and become part of a global team where your unique talents can truly thrive!",https://mx.linkedin.com/jobs/view/netsuite-erp-developer-remote-work-at-bairesdev-4399615881,4399615881,,,,,,,,,
SWE Infrastructure Specialist (Java) – Freelance AI Trainer Project,"Meridial Marketplace, by Invisible",Mexico City Metropolitan Area,REMOTE,,Contract,Software Development,2026-04-14T12:50:34.074046,45,Engineering,Information Technology,,"Are you a Java-focused software engineer with strong infrastructure and systems expertise eager to help shape how AI understands large-scale software systems? As language models are increasingly applied to enterprise environments, their ability to reason about performance, reliability, and cloud architecture depends on high-quality expert guidance. That training data begins with experienced engineers like you. We’re seeking SWE Infrastructure Specialists fluent in Java with deep knowledge of systems thinking, architectural design, performance engineering, and quality assurance. You’ll challenge advanced AI models on complex infrastructure scenarios involving JVM-based services, distributed systems, cloud-native deployments, and enterprise-grade architectures, while documenting where models struggle to reason about correctness, scalability, and operational behavior. On a typical day, you will engage the model on Java-centric infrastructure and platform engineering tasks, verify architectural decisions related to concurrency, latency, throughput, and resource utilization, assess infrastructure and application-level testing strategies, analyze deployment and reliability risks, capture reproducible failure modes, and provide structured feedback to improve model evaluation and reasoning frameworks. A bachelor’s, master’s, or PhD in computer science, software engineering, or a related technical discipline is preferred. Hands-on experience with enterprise Java systems, cloud infrastructure, platform engineering, or SRE- and DevOps-adjacent roles is highly valued. Strong written communication and the ability to clearly explain system behavior and design decisions are essential. Ready to turn your engineering expertise into the knowledge base for tomorrow’s AI? Apply today and start teaching the model that will teach the world. We offer a pay range of $80-to-$150 per hour, with the exact rate determined after evaluating your experience, expertise, and geographic location. Final offer amounts may vary from the pay range listed above. As a contractor you’ll supply a secure computer and high-speed internet; company-sponsored benefits such as health insurance and PTO do not apply. Job title: SWE Infrastructure Specialist (Java) – Freelance AI Trainer Project Employment type: Contract Workplace type: Remote",https://mx.linkedin.com/jobs/view/swe-infrastructure-specialist-java-%E2%80%93-freelance-ai-trainer-project-at-meridial-marketplace-by-invisible-4346229505,4346229505,,,,,,,,,
